BOTHTHB1DDG,BOT,001,ธนาคารแห่งประเทศไทย
BKKBTHBK,BBL,002,ธนาคาร กรุงเทพ จำกัด (มหาชน)
KASITHBK,KBANK,004,ธนาคาร กสิกรไทย จำกัด (มหาชน)
KRTHTHBK,KTB,006,ธนาคาร กรุงไทย จำกัด (มหาชน)
TMBKTHBK,TTB,011,ธนาคาร ทหารไทยธนชาต จำกัด (มหาชน)
SICOTHBK,SCB,014,ธนาคาร ไทยพาณิชย์ จำกัด (มหาชน)
CITITHBX,CITI,017,ธนาคาร ซิตี้แบงก์
SMBCTHBK,SMBC,018,ธนาคาร ซูมิโตโม มิตซุย แบงกิ้ง คอร์ปอเรชั่น
SCBLTHBX,SCBL,020,ธนาคารสแตนดาร์ดชาร์เตอร์
UBOBTHBK,CIMBT,022,ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน)
UOVBTHBK,UOBT,024,ธนาคาร ยูโอบี จำกัด (มหาชน)
AYUDTHBK,BAY,025,ธนาคาร กรุงศรีอยุธยา จำกัด (มหาชน)
GSBATHBK,GSB,030,ธนาคารออมสิน
HSBCTHBK,HSBC,031,ธนาคาร ฮ่องกงและเซี่ยงไฮ้แบงกิ้งคอร์ปอเรชั่น จำกัด
GOHUTHB1,GHB,033,ธนาคารอาคารสงเคราะห์
BAABTHBK,BAAC,034,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร
EXTHTHBK,EXIM,035,ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย
TIBTTHBK,ISBT,066,ธนาคารอิสลามแห่งประเทศไทย
TFPCTHB1,TISCO,067,ธนาคาร ทิสโก้ จำกัด (มหาชน)
KIFITHB1,KKP,069,ธนาคาร เกียรตินาคินภัทร จำกัด (มหาชน)
KKPBTHBK,KKP,069,ธนาคาร เกียรตินาคินภัทร จำกัด (มหาชน)
ICBKTHBK,ICBC,070,ธนาคาร ไอซีบีซี (ไทย) จำกัด (มหาชน)
THCETHB1,TCD,071,ธนาคาร ไทยเครดิต เพื่อรายย่อย จำกัด (มหาชน)
LAHRTHB1,LH,073,ธนาคาร แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน)
LAHRTHB2,LH,073,ธนาคาร แลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน)
STBCTHBK,SMBT,080,ธนาคาร ซูมิโตโม มิตซุย ทรัสต์ (ไทย) จำกัด (มหาชน)
SMEBTHBK,SME,098,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย
DCBBTHBK,RHB,,ธนาคารอาร์ เอช บี จำกัด สาขากรุงเทพฯ
